CBUSA Catalog
Report generated on 7/27/2017

CBUSA SKU,Product Name
252,2 x 6 - 22' #2 Hem-Fir
253,2 x 6 - 24' #2 Hem-Fir
261,2 x 8 - 22' #2 Hem-Fir
262,2 x 8 - 24' #2 Hem-Fir
272,2 x 10 - 22' #2 Hem-Fir
273,2 x 10 - 24' #2 Hem-Fir
286,2 x 12 - 28' #2 Hem-Fir
888,"3-1/2"" x 11-7/8"" - 10' Parallam Beam"
1673,1/2 x 4' x 8' Dow Blue Insulation Board 
8591,Backband (11/16 x 1-1/8) FJ Primed
8596,Base #610 (9/16 x 5-1/4) FJ Primed
8620,Base #810 (11/16 x 7-1/4) FJ
8628,Speedbase (11/16 x 7-1/4) MDF
8676,Casing #356 (11/16 x 2-1/4) FJ Primed
8701,Casing #444 (11/16 x 3-1/4) FJ 
8702,Casing #444 (11/16 x 3-1/4) FJ Primed
8703,Casing #444 (11/16 x 3-1/4) MDF 
8704,"Adder for FJ Casing 445 (3-1/4) 6'-8"" - Single"
8705,Casing #445 (11/16 x 3-1/4) FJ 
8706,Casing #445 (11/16 x 3-1/4) FJ Primed
8707,Casing #445 (11/16 x 3-1/4) MDF 
8722,"Adder for FJ Casing RB3 - 6'-8"" - Single"
8788,Corner Mould #206 (11/16 x 11/16)
8793,"Cove Mould #100 (#8052) (3/4"" x 3/4"") FJ"
8803,Crown #45 (9/16 x 5-1/4) MDF
8816,Crown #47 (9/16 x 4-5/8) MDF
8830,Crown #49 (9/16 X 3-5/8) MDF
8925,1 x 4 R/L Pine FJ S4S
9050,2/0 #445 TRH Flex Trim
9051,2/4 #445 TRH Flex Trim
9052,2/8 #445 TRH Flex Trim
9053,3/0 #445 TRH Flex Trim
9055,4/0 #445 TRH Flex Trim
9057,"49-1/2"" #445 TRH Flex Trim"
9058,5/0 #445 TRH Flex Trim
9060,5/4 #445 TRH Flex Trim
9061,"57-1/2"" #445 TRH Flex Trim"
9062,"59-1/2"" #445 TRH Flex Trim"
9063,6/0 #445 TRH Flex Trim
9065,"65-1/2"" #445 TRH Flex Trim"
9140,Lattice #266 (1/4 X 1-1/2) 
9141,Lattice #266 Lattice (1/4 x 1-5/8)
9148,1 x 4 - 16' MDF
9149,1 x 4 MDF Primed RL
9150,1 x 4 MDF S4S
9151,1 x 6 - 16' MDF 
9158,1 x 10 - 16' MDF 
9180,Cedar Shims (Bundle)
9715,2 x 6 - 22' #2 Hem-Fir
9716,2 x 6 - 24' #2 Hem-Fir
9725,2 x 8 - 22' #2 Hem-Fir
9737,2 x 10 - 24' #2 Hem-Fir
9750,2 x 12 - 28' #2 Hem-Fir
9804,2 x 2 - 12' #2 SPF
9805,2 x 2 - 16' #2 SPF
9806,2 x 4 - 10' #2 SPF
9807,2 x 4 - 12' #2 SPF
9808,2 x 4 - 14' #2 SPF
9809,2 x 4 - 16' #2 SPF
9810,2 x 4 - 18' #2 SPF
9811,2 x 4 - 20' #2 SPF
9812,2 x 4 - 8' #2 SPF
9813,2 x 4 R/L #2 SPF (12'-16')
9814,2 x 6 - 10' #2 SPF
9815,2 x 6 - 12' #2 SPF
9816,2 x 6 - 14' #2 SPF
9817,2 x 6 - 16' #2 SPF
9818,2 x 6 - 18' #2 SPF
9819,2 x 6 - 20' #2 SPF
9820,2 x 6 - 22' #2 SPF
9821,2 x 6 - 24' #2 SPF
9822,2 x 6 - 8' #2 SPF
9823,2 x 6 R/L #2 SPF (12'-16')
9824,2 x 8 - 10' #2 SPF
9825,2 x 8 - 12' #2 SPF
9826,2 x 8 - 14' #2 SPF
9827,2 x 8 - 16' #2 SPF
9828,2 x 8 - 18' #2 SPF
9829,2 x 8 - 20' #2 SPF
9830,2 x 8 - 22' #2 SPF
9831,2 x 8 - 24' #2 SPF
9832,2 x 8 - 26' #2 SPF
9833,2 x 8 - 28' #2 SPF
9834,2 x 8 - 8' #2 SPF
9835,2 x 10 - 10' #2 SPF
9836,2 x 10 - 12' #2 SPF
9837,2 x 10 - 14' #2 SPF
9838,2 x 10 - 16' #2 SPF
9839,2 x 10 - 18' #2 SPF
9840,2 x 10 - 20' #2 SPF
9841,2 x 10 - 22' #2 SPF
9842,2 x 10 - 24' #2 SPF
9843,2 x 10 - 26 #2 SPF
9844,2 x 10 - 28 #2 SPF
9845,2 x 10 - 8' #2 SPF
9846,2 x 12 - 10' #2 SPF
9847,2 x 12 - 12' #2 SPF
9848,2 x 12 - 14' #2 SPF
