Vendor SKU,Vendor Price,CBUSA SKU,Product Name
9999901,18,1673,1/2 x 4' x 8' Dow Blue Insulation Board 
,13.12,8628,Speedbase (11/16 x 7-1/4) MDF
1774600,0.39,8707,Casing #445 (11/16 x 3-1/4) MDF 
2937100,0.32,9148,1 x 4 - 16' MDF
7130900,2.56,9180,Cedar Shims (Bundle)
2062201,17.25,9715,2 x 6 - 22' #2 Hem-Fir
2062401,17.5,9716,2 x 6 - 24' #2 Hem-Fir
2102401,31,9737,2 x 10 - 24' #2 Hem-Fir
2041001,3.5,9806,2 x 4 - 10' #2 SPF
2041201,4.2,9807,2 x 4 - 12' #2 SPF
2041401,4.9,9808,2 x 4 - 14' #2 SPF
2041601,5.62,9809,2 x 4 - 16' #2 SPF
2040801,3,9812,2 x 4 - 8' #2 SPF
2061001,4.95,9814,2 x 6 - 10' #2 SPF
2061201,5.94,9815,2 x 6 - 12' #2 SPF
2061401,6.93,9816,2 x 6 - 14' #2 SPF
2061601,7.92,9817,2 x 6 - 16' #2 SPF
2061801,10.48,9818,2 x 6 - 18' #2 SPF
2062001,12.04,9819,2 x 6 - 20' #2 SPF
2062201,17.25,9820,2 x 6 - 22' #2 SPF
2062401,17.5,9821,2 x 6 - 24' #2 SPF
2081001,7.05,9824,2 x 8 - 10' #2 SPF
2081201,9,9825,2 x 8 - 12' #2 SPF
2081401,10.05,9826,2 x 8 - 14' #2 SPF
2081601,11.29,9827,2 x 8 - 16' #2 SPF
2081801,12.92,9828,2 x 8 - 18' #2 SPF
2082001,15.23,9829,2 x 8 - 20' #2 SPF
,22.78,9832,2 x 8 - 26' #2 SPF
2101401,13.31,9837,2 x 10 - 14' #2 SPF
,0,10201,2 x 6 - 10' #2 SYP
2061204,5.94,10202,2 x 6 - 12' #2 SYP
2061404,6.93,10203,2 x 6 - 14' #2 SYP
2061604,7.92,10204,2 x 6 - 16' #2 SYP
2081004,7,10213,2 x 8 - 10' #2 SYP
2081204,6.29,10214,2 x 8 - 12' #2 SYP
2081404,7.42,10215,2 x 8 - 14' #2 SYP
2081604,8.8,10216,2 x 8 - 16' #2 SYP
2081804,9,10217,2 x 8 - 18' #2 SYP
2101004,7.32,10224,2 x 10 - 10' #2 SYP
2101204,10.14,10225,2 x 10 - 12' #2 SYP
2101404,11.81,10226,2 x 10 - 14' #2 SYP
2101604,13.72,10227,2 x 10 - 16' #2 SYP
2101804,14.78,10228,2 x 10 - 18' #2 SYP
2102004,17.5,10229,2 x 10 - 20' #2 SYP
2100804,7.2,10234,2 x 10 - 8' #2 SYP
2121204,14.17,10236,2 x 12 - 12' #2 SYP
2121404,17.56,10237,2 x 12 - 14' #2 SYP
2121604,21.65,10238,2 x 12 - 16' #2 SYP
2121804,28.89,10239,2 x 12 - 18' #2 SYP
2122004,39.28,10240,2 x 12 - 20' #2 SYP
4276800,82,10981,1-3/4 x 11-7/8 - 16' LVL
4274100,87,10982,1-3/4 x 11-7/8 - 18' LVL
4260200,97,10983,1-3/4 x 11-7/8 - 20' LVL
4260400,115,10985,1-3/4 x 11-7/8 - 24' LVL
4260500,136,10987,1-3/4 x 11-7/8 - 28' LVL
4274400,154,10989,1-3/4 x 11-7/8 - 32' LVL
4261100,116,11002,1-3/4 x 14 - 20' LVL
4261200,129,11004,1-3/4 x 14 - 24' LVL
4261300,145,11006,1-3/4 x 14 - 28' LVL
4279100,168,11008,1-3/4 x 14 - 32' LVL
4261600,100,11019,1-3/4 x 16 - 16' LVL
4279400,118,11020,1-3/4 x 16 - 18' LVL
4263500,128,11021,1-3/4 x 16 - 20' LVL
4279500,152,11022,1-3/4 x 16 - 22' LVL
4261800,165,11023,1-3/4 x 16 - 24' LVL
4261900,194,11025,1-3/4 x 16 - 28' LVL
4279700,220,11027,1-3/4 x 16 - 32' LVL
1092900,276,11031,1-3/4 x 16 - 40' LVL
4262300,160,11040,1-3/4 x 18 - 20' LVL
4262400,192,11042,1-3/4 x 18 - 24' LVL
4272800,256,11046,1-3/4 x 18 - 32' LVL
4214800 - 14',53.25,11074,1-3/4 x 9-1/4 - 12' LVL
4259300,85,11078,1-3/4 x 9-1/4 - 20' LVL
4259400,90,11080,1-3/4 x 9-1/4 - 24' LVL
4263300,105,11082,1-3/4 x 9-1/4 - 28' LVL
4215300,120,11084,1-3/4 x 9-1/4 - 32' LVL
4508100,26.45,11111,23/32 x 4' x 8' T&G Advantech
12300,22,11130,1/2 x 4' x 8' CDX Plywood
13400,25.5,11132,3/4 x 4' x 8' CDX Plywood
7479300,19,11134,3/8 x 4' x 8' CDX Plywood
7160500,12.13,11216,1/2 x 4' x 8' Foil Back OSB
4506400,15.57,11219,3/4 x 4' x 8' T&G OSB
4506100,15.4,11220,5/8 x 4' x 8' OSB
71600,8.85,11223,7/16 x 4' x 8' OSB
,9.95,11224,7/16 x 4' x 8' Techshield Radiant Barrier OSB
7502000,25.5,11256,1/2 x 4' x 8' CD Treated Plywood
7502100,31.5,11257,3/4 x 4' x 8' CD Treated Plywood
,0,11296,1 x 4 - 12' #2 Pressure Treated 
1041606,6.79,11297,1 x 4 - 16' #2 Pressure Treated 
1061206,6.85,11303,1 x 6 - 12' #2 Pressure Treated 
1081206,8.48,11307,1 x 8 - 12' #2 Pressure Treated 
2101006,11.11,11310,2 x 10 - 10' #2 Pressure Treated
2101206,14.53,11311,2 x 10 - 12' #2 Pressure Treated
2101406,16.83,11312,2 x 10 - 14' #2 Pressure Treated
2101606,20.36,11313,2 x 10 - 16' #2 Pressure Treated
2100806,7,11316,2 x 10 - 8' #2 Pressure Treated
2121006,16.59,11317,2 x 12 - 10' #2 Pressure Treated
2121606,25.66,11319,2 x 12 - 16' #2 Pressure Treated
2120806,10.52,11323,2 x 12 - 8' #2 Pressure Treated
2041406,6.12,11328,2 x 4 - 14' #2 Pressure Treated
2041606,6.94,11329,2 x 4 - 16' #2 Pressure Treated
2061006,7.25,11333,2 x 6 - 10' #2 Pressure Treated
2061206,8,11334,2 x 6 - 12' #2 Pressure Treated
2061406,9.71,11336,2 x 6 - 14' #2 Pressure Treated
2061606,10.98,11337,2 x 6 - 16' #2 Pressure Treated
2060806,5.75,11340,2 x 6 - 8' #2 Pressure Treated
2081006,8,11341,2 x 8 - 10' #2 Pressure Treated
2081206,9,11342,2 x 8 - 12' #2 Pressure Treated
2081406,10.8,11343,2 x 8 - 14' #2 Pressure Treated
2081606,12.9,11344,2 x 8 - 16' #2 Pressure Treated
2080806,6.11,11347,2 x 8 - 8' #2 Pressure Treated
4041006,11.77,11348,4 x 4 - 10' #2 Pressure Treated
4041206,13.37,11349,4 x 4 - 12' #2 Pressure Treated
4061006,14.37,11354,4 x 6 - 10' #2 Pressure Treated
4061206,18.75,11355,4 x 6 - 12' #2 Pressure Treated
4061606,23.58,11357,4 x 6 - 16' #2 Pressure Treated
4060806,11.77,11360,4 x 6 - 8' #2 Pressure Treated
5461006,5.75,11372,5/4 x 6 - 10' #2 Pressure Treated
5461606,9.75,11375,5/4 x 6 - 16' #2 Pressure Treated
2049301,2.37,11402,"2 x 4 - 93"" Pre-Cut SPF"
,3.02,11403,"2 x 4 - 105"" Pre-Cut SPF"
2411701,3.78,11404,"2 x 4 - 117"" Pre-Cut SPF"
2069301,3.4,11405,"2 x 6 - 93"" Pre-Cut SPF"
