CBUSA Catalog
Report generated on 7/27/2017

CBUSA SKU,Product Name
12101,4/4 x 11-1/4 - 12' HardieTrim - Rustic Grain
12103,4/4 x 3-1/2 - 12' HardieTrim - Rustic Grain
12105,4/4 x 5-1/2 - 12' HardieTrim - Rustic Grain
12107,4/4 x 7-1/4 - 12' HardieTrim - Rustic Grain
14723,Rusticware Product Multiplier
16562,Pine Hall - Rustic Village (Oversized) 
16590,"3"" x 3/4"" American Cherry Rustic Unfinished"
16593,"4"" x 3/4"" American Cherry Rustic Unfinished"
16596,"5"" x 3/4"" American Cherry Rustic Unfinished"
19774,Rustic Flats (100 SF)
19775,Rustic Corners (100 LF)
20227,"3"" Shaw - Relaxed Rustic"
51331,4/4 x 9-1/4 - 12' HardieTrim - Rustic Grain
52164,4/4 x 2-1/2 - 12 Hardie Batten Board - Rustic Grain
53549,5/4 x 3-1/2 - 12' HardieTrim - Rustic Grain
53550,5/4 x 5-1/2 - 12' HardieTrim - Rustic Grain
53551,5/4 x 7-1/4 - 12' HardieTrim - Rustic Grain
53552,5/4 x 11-1/4 - 12' HardieTrim - Rustic Grain
53590,4/4 x 2-1/2 - 12 Hardie Batten Board - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53591,4/4 x 3-1/2 - 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53592,4/4 x 5-1/2 - 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53593,4/4 x 7-1/4 - 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53594,4/4 x 9-1/4 - 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53595,4/4 x 11-1/4 - 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53596,5/4 x 3-1/2 - 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53597,5/4 x 5-1/2 - 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53598,5/4 x 7-1/4- 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
53599,5/4 x 11-1/4 - 12' HardieTrim - Rustic Grain - In ColorPlus Technology - Verify Color with Local Dealer
55404,5/4 x 4-1/2 - 12' HardieTrim - Rustic Grain
56419,4/4 x 1-5/8 - 12' HardieTrim - Rustic Grain
HS-Rust-8753,Rust Hammered Satin Dress
