SKU, Name, Supply Phase 1, Supply Phase 2 , Supply Phase 3, Supply Phase 4, Supply Phase 5 , LLC Pricing, Description, IsActive
78,Test 1 x 2 - 10' #2 Borate Treated,,,,,,"Atlanta|Austin",Test 1 x 2 - 10' #2 Borate Treated,Yes
79,1 x 4 - 10' #2 Borate Treated ,,,,,,,1 x 4 - 10' #2 Borate Treated ,Yes
80,1 x 4 - 12' #2 Borate Treated ,,,,,,,1 x 4 - 12' #2 Borate Treated ,Yes
81,1 x 4 - 16' #2 Borate Treated ,,,,,,,1 x 4 - 16' #2 Borate Treated ,Yes
82,2 x 4 - 8' #2 Borate Treated ,,,,,,,2 x 4 - 8' #2 Borate Treated ,Yes
83,2 x 4 - 10' #2 Borate Treated ,,,,,,,2 x 4 - 10' #2 Borate Treated ,Yes
84,2 x 4 - 12' #2 Borate Treated ,,,,,,,2 x 4 - 12' #2 Borate Treated ,Yes
85,2 x 4 - 14' #2 Borate Treated ,,,,,,,2 x 4 - 14' #2 Borate Treated ,Yes
86,2 x 4 - 16' #2 Borate Treated ,,,,,,,2 x 4 - 16' #2 Borate Treated ,Yes
87,2 x 6 - 8' #2 Borate Treated ,,,,,,,2 x 6 - 8' #2 Borate Treated ,Yes
88,2 x 6 - 10' #2 Borate Treated ,,,,,,,2 x 6 - 10' #2 Borate Treated ,Yes
89,2 x 6 - 12' #2 Borate Treated ,,,,,,,2 x 6 - 12' #2 Borate Treated ,Yes
90,2 x 6 - 14' #2 Borate Treated ,,,,,,,2 x 6 - 14' #2 Borate Treated ,Yes
91,2 x 6 - 16' #2 Borate Treated ,,,,,,,2 x 6 - 16' #2 Borate Treated ,Yes
92,2 x 8 - 8' #2 Borate Treated ,,,,,,,2 x 8 - 8' #2 Borate Treated ,Yes
93,2 x 8 - 10' #2 Borate Treated ,,,,,,,2 x 8 - 10' #2 Borate Treated ,Yes
94,2 x 8 - 12' #2 Borate Treated ,,,,,,,2 x 8 - 12' #2 Borate Treated ,Yes
95,1 x 2 - 8' #2 Borate Treated ,,,,,,,1 x 2 - 8' #2 Borate Treated ,Yes
96,2 x 4 - 8' #3 Borate Treated ,,,,,,,2 x 4 - 8' #3 Borate Treated ,Yes
97,2 x 4 - 10' #3 Borate Treated ,,,,,,,2 x 4 - 10' #3 Borate Treated ,Yes
98,2 x 4 - 12' #3 Borate Treated ,,,,,,,2 x 4 - 12' #3 Borate Treated ,Yes
99,2 x 4 - 14' #3 Borate Treated ,,,,,,,2 x 4 - 14' #3 Borate Treated ,Yes
100,2 x 4 - 16' #3 Borate Treated ,,,,,,,2 x 4 - 16' #3 Borate Treated ,Yes
101,2 x 6 - 8' #3 Borate Treated ,,,,,,,2 x 6 - 8' #3 Borate Treated ,Yes
102,2 x 6 - 10' #3 Borate Treated ,,,,,,,2 x 6 - 10' #3 Borate Treated ,Yes
103,2 x 6 - 12' #3 Borate Treated ,,,,,,,2 x 6 - 12' #3 Borate Treated ,Yes
104,2 x 6 - 14' #3 Borate Treated ,,,,,,,2 x 6 - 14' #3 Borate Treated ,Yes
105,2 x 6 - 16' #3 Borate Treated ,,,,,,,2 x 6 - 16' #3 Borate Treated ,Yes
106,2 x 8 - 8' #3 Borate Treated ,,,,,,,2 x 8 - 8' #3 Borate Treated ,Yes
107,2 x 8 - 10' #3 Borate Treated ,,,,,,,2 x 8 - 10' #3 Borate Treated ,Yes
108,2 x 8 - 12' #3 Borate Treated ,,,,,,,2 x 8 - 12' #3 Borate Treated ,Yes
9543,1 x 2 - 10' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 2 - 10' #2 Borate Treated ,Yes
9544,1 x 2 - 8' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 2 - 8' #2 Borate Treated ,Yes
9545,1 x 4 - 10' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 4 - 10' #2 Borate Treated ,Yes
9546,1 x 4 - 12' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 4 - 12' #2 Borate Treated ,Yes
9547,1 x 4 - 16' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 4 - 16' #2 Borate Treated ,Yes
9548,2 x 4 - 10' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 4 - 10' #2 Borate Treated ,Yes
9549,2 x 4 - 12' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 4 - 12' #2 Borate Treated ,Yes
9550,2 x 4 - 14' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 4 - 14' #2 Borate Treated ,Yes
9551,2 x 4 - 16' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 4 - 16' #2 Borate Treated ,Yes
9552,2 x 4 - 8' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 4 - 8' #2 Borate Treated ,Yes
9553,2 x 6 - 10' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 6 - 10' #2 Borate Treated ,Yes
9554,2 x 6 - 12' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 6 - 12' #2 Borate Treated ,Yes
9555,2 x 6 - 14' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 6 - 14' #2 Borate Treated ,Yes
9556,2 x 6 - 16' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 6 - 16' #2 Borate Treated ,Yes
9557,2 x 6 - 8' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 6 - 8' #2 Borate Treated ,Yes
9558,2 x 8 - 10' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 8 - 10' #2 Borate Treated ,Yes
9559,2 x 8 - 12' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 8 - 12' #2 Borate Treated ,Yes
9560,2 x 8 - 8' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 8 - 8' #2 Borate Treated ,Yes
9561,2 x 4 - 10' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 4 - 10' #3 Borate Treated ,Yes
9562,2 x 4 - 12' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 4 - 12' #3 Borate Treated ,Yes
9563,2 x 4 - 14' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 4 - 14' #3 Borate Treated ,Yes
9564,2 x 4 - 16' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 4 - 16' #3 Borate Treated ,Yes
9565,2 x 4 - 8' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 4 - 8' #3 Borate Treated ,Yes
9566,2 x 6 - 10' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 6 - 10' #3 Borate Treated ,Yes
9567,2 x 6 - 12' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 6 - 12' #3 Borate Treated ,Yes
9568,2 x 6 - 14' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 6 - 14' #3 Borate Treated ,Yes
9569,2 x 6 - 16' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 6 - 16' #3 Borate Treated ,Yes
9570,2 x 6 - 8' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 6 - 8' #3 Borate Treated ,Yes
9571,2 x 8 - 10' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 8 - 10' #3 Borate Treated ,Yes
9572,2 x 8 - 12' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 8 - 12' #3 Borate Treated ,Yes
9573,2 x 8 - 8' #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 8 - 8' #3 Borate Treated ,Yes
16228,2 x 4 x 18 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 4 x 18 #2 Borate Treated,Yes
18152,1 x 6 - 10 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 6 - 10 #2 Borate Treated,Yes
